! | OTHER 3 OTHER: 5
% | PERSON 9 OTHER 48 OTHER: 88
&ur; | OTHER 1
accuracy | OTHER 3 OTHER: 1
accurate | OTHER 2 OTHER: 1
accusation | OTHER 5 OTHER: 1
accusations | OTHER 22 OTHER: 6
accused | PERSON 3 OTHER 1
accuser | PERSON 1
accusers | PERSON 5
achievement | OTHER 6
achievements | OTHER: 3
acid | OTHER 1
acknowledgment | OTHER 2
acquirers | ORGANIZATION:Commercial 1
acquisition | ORGANIZATION 1 PERSON 1 OTHER 16 OTHER: 4
acquisitions | ORGANIZATION 2 OTHER 10 OTHER: 1
acquittal | OTHER 4 OTHER: 1
acre | FACILITY:Bounded-Area 1
acres | LOCATION 3 OTHER 1
acrimony | OTHER 1
act | ORGANIZATION 1 OTHER 31 OTHER: 11
acting | OTHER 1
action | OTHER 82 OTHER: 23
actions | OTHER 23 OTHER: 10
activation | OTHER 1
active | OTHER 1
activist | PERSON 5
activists | PERSON 13 PERSON: 5
activities | OTHER 40 OTHER: 5
activity | OTHER 20 OTHER: 5
actor | PERSON 3 PERSON: 2 OTHER 1
actors | PERSON 9 PERSON: 2 GPE 1
actress | PERSON 2 PERSON: 1
actresses | PERSON 1
acts | OTHER 8 OTHER: 3
ad | OTHER 1 OTHER: 5
ad hoc | OTHER 1
adage | OTHER 1
adamantly | OTHER 1
adaptation | OTHER: 1
adapter | OTHER 2
addict | PERSON 1
addiction | OTHER 6
addicts | PERSON 1
addition | OTHER 29 OTHER: 11
additional | OTHER 2 OTHER: 1
address | FACILITY 1 LOCATION:Address 1 OTHER 19 OTHER: 4
addresses | OTHER 2
adequate one | OTHER 1
adjacent | OTHER 2
adjournment | OTHER 1
adjustment | OTHER 7
adjustments | OTHER 4 OTHER: 1
administration | PERSON: 1 ORGANIZATION:Government 20 ORGANIZATION 81 ORGANIZATION:Other 1 GPE 2 OTHER 10 OTHER: 2
administrations | ORGANIZATION:Government 1 ORGANIZATION 1
administrator | PERSON 5 PERSON: 1
administrators | PERSON 2
admiral | PERSON 3 PERSON: 1
admirals | PERSON 1
admiration | OTHER 1
admirer | PERSON 1
admission | OTHER 5 OTHER: 1
admissions | OTHER 1
admonitions | OTHER 1
adolescents | PERSON 1
adoption | OTHER 4 OTHER: 2
ads | OTHER 11 OTHER: 2
adult | PERSON 4
adultery | OTHER 1
adulthood | OTHER: 1
adults | PERSON 18 PERSON: 1
advance | OTHER 11 OTHER: 3
advancement | OTHER 1
advancers 4 | OTHER: 1
advances | OTHER 5 OTHER: 1
advantage | OTHER 16 OTHER: 15
advantages | OTHER 1 OTHER: 4
advent | OTHER 1 OTHER: 1
adventure | OTHER: 1
adventures | OTHER 1
adventurism | OTHER: 1
adversaries | PERSON 6 PERSON: 1
adversary | ORGANIZATION 1 GPE 2
advertisement | OTHER: 4
advertisements | OTHER 3 OTHER: 4
advertisers | PERSON: 2 ORGANIZATION:Commercial 1 ORGANIZATION 1 ORGANIZATION:Other 3
advice | OTHER 18 OTHER: 6
adviser | PERSON 15 PERSON: 2 OTHER 4
advisers | PERSON 10 PERSON: 7
advisor | PERSON 6
advisors | PERSON 7 PERSON: 2
advisory | OTHER 1
advocacy | OTHER 1
advocate | PERSON 2 PERSON: 1 OTHER: 1
advocates | PERSON 7 PERSON: 1
aerial | OTHER 2
aerosol | OTHER 2
aerospace | ORGANIZATION 1
affair | OTHER 23 OTHER: 1
affairs | OTHER 23 OTHER: 4
affidavit | OTHER 6
affidavits | OTHER 3
affiliations | OTHER 1
affinity | OTHER 2
affirmation | OTHER 1
aftereffects | OTHER: 1
aftermath | OTHER 5
afternoon | OTHER 49 OTHER: 24
afternoons | OTHER: 1
again. | OTHER 1
age | OTHER 31 OTHER: 17
agencies | PERSON 1 ORGANIZATION:Government 1 ORGANIZATION 31 OTHER: 1
agency | ORGANIZATION:Government 3 ORGANIZATION 130 ORGANIZATION:Other 1 OTHER 11 OTHER: 2
agenda | OTHER 14 OTHER: 5
agendas | OTHER 2
agent | ORGANIZATION 1 PERSON 24 PERSON: 4 OTHER 3 OTHER: 1
agents | PERSON 64 PERSON: 3 OTHER 3
ager | OTHER 2 OTHER: 1
agers | OTHER 9
ages | OTHER 5
aggression | OTHER 6 OTHER: 2
aggressive | OTHER 1
aggressiveness | OTHER 1
aggressor | GPE 1
aggressors | GPE 1
agreement | OTHER 104 OTHER: 28
agreements | OTHER 6 OTHER: 3
agriculture | OTHER 1 OTHER: 2
ah | OTHER 13
ahla | PERSON 1
aibo | OTHER: 1
aid | PERSON: 1 OTHER 44 OTHER: 8
aide | PERSON 13 PERSON: 1 OTHER 1
aides | PERSON 29 PERSON: 14 OTHER 2
aids | PERSON: 2 OTHER: 1
aim | OTHER 13 OTHER: 6
aims | OTHER 1
air | OTHER 29 OTHER: 18
airconsumer | OTHER: 1
aircraft | VEH:Air 2 OTHER 15
airfield | FACILITY:Bounded-Area 1
airline | ORGANIZATION:Commercial 19 ORGANIZATION 16 OTHER 2
airliner | VEH:Air 1 OTHER 2
airlines | ORGANIZATION:Government 1 ORGANIZATION:Commercial 14 ORGANIZATION 8 OTHER 1
airplane | VEH:Air 2 OTHER 2
airplanes | OTHER 3
airport | ORGANIZATION:Commercial 1 FACILITY:Bounded-Area 12 FACILITY 4 OTHER 2 OTHER: 3
airports | FACILITY:Bounded-Area 4 FACILITY 5 FACILITY:Subarea-Building 1
airs | OTHER 1
airspace | FACILITY 1 LOCATION 1 OTHER 1
airstrike | OTHER 1
airstrikes | OTHER 5
airwaves | OTHER 1
aisle | OTHER 3 OTHER: 1
aisles | FACILITY:Subarea-Building 1
alarm | OTHER 4 OTHER: 1
alarmed | OTHER: 1
alaska | GPE 1
albanians | PERSON 17
albendazole | OTHER 1
album | OTHER 2 OTHER: 3
albums | OTHER: 1
alcohol | OTHER 13 OTHER: 1
alcoholic | PERSON 1
alert | OTHER 17 OTHER: 5
alert. | OTHER 1
all | ORGANIZATION:Commercial 1 ORGANIZATION 2 ORGANIZATION:Other 1 PERSON 15 PERSON: 4 GPE:Nation 1 GPE 2 FACILITY 1 OTHER 180 OTHER: 52
all 20 | OTHER 1
all five | OTHER 1
all four | OTHER 3
all three | OTHER 1 OTHER: 2
alldds | OTHER 1
allegation | OTHER 6
allegations | OTHER 45 OTHER: 1
alleged | OTHER: 1
allergies | OTHER: 1
alleys | OTHER 1
alliance | ORGANIZATION 16 ORGANIZATION:Other 2 GPE 1 OTHER 10
alliances | ORGANIZATION 4 OTHER 2 OTHER: 1
allied | OTHER 1
allies | PERSON 3 PERSON: 4 ORGANIZATION 1 ORGANIZATION:Other 1 GPE 18
allocation | OTHER 6 OTHER: 2
allocations | OTHER 1
allotments | LOCATION 1
allowance | OTHER 1
allowances | OTHER 1
allure | OTHER 1
ally | PERSON 5 PERSON: 2 ORGANIZATION 5 GPE 4 OTHER 1
almost 25,000 | OTHER: 1
almost twenty four thousand | OTHER 1
altar | OTHER 1
alter ego | OTHER 1
alternative | PERSON: 1 OTHER 4 OTHER: 3
alternatives | OTHER 5 OTHER: 1
altitude | OTHER 3
aluminum | OTHER 3
alumni | PERSON 3
am | OTHER 4
amazing | OTHER: 1
ambassador | PERSON 31 PERSON: 7
ambassadors | PERSON 2
ambition | OTHER 1
ambitions | OTHER 1
ambulance | VEH:Land 2 OTHER 2
ambulances | VEH:Land 4
ambush | OTHER 2 OTHER: 1
amended | OTHER 1
amendment | OTHER 6 OTHER: 3
amendments | OTHER 7 OTHER: 2
americans | PERSON 32 PERSON: 11 GPE:Nation 4 GPE 8 OTHER 1
ammunition | OTHER 3 OTHER: 1
amnesty | OTHER 1
amount | OTHER 17 OTHER: 29
amounts | PERSON 1 OTHER 4 OTHER: 5
amplitude | OTHER 1
ampules | OTHER: 2
amputees | PERSON: 1
ana | OTHER 1
analyses | OTHER 1
analysis | OTHER 4 OTHER: 3
analyst | PERSON 33 PERSON: 7 OTHER 1
analysts | PERSON 81 PERSON: 26
ancestor | OTHER: 1
ancestors | PERSON 1
anchor | PERSON: 1
anchors | PERSON 1 PERSON: 1
andht | OTHER: 1
ands | OTHER: 1
anecdote | OTHER: 1
angels | PERSON 1 ORGANIZATION 1
anger | OTHER 7 OTHER: 4
angle | OTHER: 2
anguish | OTHER 2
animal | OTHER 2 OTHER: 1
animals | OTHER 7 OTHER: 10
animosities | OTHER 1
animosity | OTHER: 1
anlayst | PERSON: 1
anna | OTHER 1
annals | OTHER 1
annexation | OTHER 1
annihilation | OTHER 1
anniversary | OTHER 20
announcement | OTHER 21 OTHER: 5
announcements | OTHER 5 OTHER: 1
announcer | PERSON 2 PERSON: 2
annoyance | OTHER 1
annual | OTHER 1 OTHER: 1
annuals | PERSON 1
anonymity | OTHER 28 OTHER: 3
anonymous | OTHER: 1
answer | OTHER 28 OTHER: 8
answers | OTHER 15 OTHER: 5
antagonism | OTHER 1
anted | OTHER 1
antenna | OTHER 1
antennas | OTHER 1
antes | OTHER 1
anthem | OTHER 3 OTHER: 9
anthrax | OTHER 8
anthropologist | PERSON 2
anthropologists | PERSON 3
anti | OTHER 4
anticipation | OTHER 2
antics | OTHER 1
antidotes | OTHER 1
antisemitic | OTHER 1
anxieties | OTHER 1
anxiety | OTHER 9 OTHER: 3
anxiety. | OTHER 1
any | ORGANIZATION 4 PERSON 9 PERSON: 1 GPE 1 FACILITY 1 OTHER 39 OTHER: 9
anymore | OTHER: 1
anyway. | OTHER 1
ap | OTHER 1
apartheid | OTHER 1
apartment | FACILITY 37 FACILITY:Subarea-Building 2 OTHER 1 OTHER: 1
apartments | FACILITY 3 FACILITY:Subarea-Building 1
ape | OTHER 1
aperitif | OTHER 2
apes | OTHER: 1
aphorisms | OTHER 1
apolitical | OTHER 1
apologies | OTHER 2
apology | OTHER 11 OTHER: 2
appalachians | PERSON 1
apparatus | OTHER 1
apparel | OTHER 1
apparent | OTHER 1
appeal | OTHER 40 OTHER: 12
appealed | OTHER 1
appeals | OTHER 7 OTHER: 4
appearance | OTHER 21 OTHER: 3
appearances | OTHER 8 OTHER: 6
appellation | OTHER 1
appetite | OTHER: 2
appetizer | OTHER 2
appetizers | OTHER 2
applause | OTHER 8 OTHER: 2
apples | PERSON 1 OTHER 2
appliances | OTHER 2
applicant | PERSON 2
application | OTHER 14 OTHER: 1
applications | OTHER 6 OTHER: 3
appointees | PERSON 1 PERSON: 1
appointment | OTHER 14 OTHER: 1
appointments | PERSON: 1 OTHER 2 OTHER: 2
apportionment | OTHER: 1
appraisal | OTHER 1
appraisals | OTHER 1
apprehensions | OTHER 1
apprentice | PERSON 1
approach | OTHER 31 OTHER: 8
approaches | OTHER 4 OTHER: 1
appropriations | OTHER 1
approval | OTHER 23 OTHER: 13
approvals | OTHER 5
approximation | OTHER 1
april | OTHER 55 OTHER: 13
aqueduct | FACILITY 1
arabs | PERSON 1
aradiant | OTHER: 1
arat | PERSON: 1
arbiters | PERSON 1
arbitrated | OTHER: 1
archbishop | PERSON 3
archdiocese | ORGANIZATION:Other 2
arches | OTHER: 1
archipelago | GPE 3
architect | PERSON 1
architects | PERSON 2
architecture | OTHER 4
archives | FACILITY 1
arctic | LOCATION 1
area | GPE:State-or-Province 1 GPE 14 GPE:Other 1 GPE:Population-Center 2 FACILITY:Bounded-Area 1 FACILITY 1 FACILITY:Subarea-Building 1 LOCATION:Region-Subnational 3 LOCATION:Region-Local 10 LOCATION 61 LOCATION:Region-International 1 OTHER 21 OTHER: 11
areas | GPE 4 GPE:Other 1 GPE:Population-Center 2 FACILITY 3 LOCATION:Region-Subnational 6 LOCATION:Region-Local 5 LOCATION:Region-National 2 LOCATION:Land-Region-Natural 1 LOCATION 25 LOCATION:Water-Body 1 OTHER 26 OTHER: 4
arena | FACILITY:Building 1 FACILITY 1 LOCATION 1 OTHER 6
argued | OTHER 1
argument | OTHER 22 OTHER: 7
arguments | OTHER 19 OTHER: 12
aristocracy | PERSON 1
aristocrat | PERSON 1
arithmetic | OTHER: 1
arm | ORGANIZATION 4 ORGANIZATION:Other 2 OTHER 6 OTHER: 1
armada | ORGANIZATION 1
armaments | OTHER 1
armchair | OTHER 1 OTHER: 1
armies | ORGANIZATION 3 ORGANIZATION:Other 1
arms | ORGANIZATION 1 WEA:Shooting 1 OTHER 20
army | PERSON 3 PERSON: 1 ORGANIZATION:Government 3 ORGANIZATION 21 ORGANIZATION:Other 1 GPE:Other 1 OTHER: 1
arpeggios | OTHER 1
arraignment | OTHER 1
arrangement | OTHER 11 OTHER: 4
arrangements | OTHER 8 OTHER: 2
array | OTHER 8 OTHER: 1
arrest | OTHER 40 OTHER: 6
arrests | OTHER 11 OTHER: 3
arrival | OTHER 22 OTHER: 2
arrivals | OTHER 5
arrogance | OTHER 1
arrows | WEA:Projectile 1
arsenal | FACILITY:Bounded-Area 1 OTHER 2
arsenic | OTHER 1
arson | OTHER 1
art | OTHER 37 OTHER: 5
artery | FACILITY:Path 1
arthritis | OTHER 1
article | OTHER 17 OTHER: 5
articles | OTHER 8 OTHER: 3
artillery | OTHER 1
artist | PERSON 4
artistes | PERSON 1
artists | PERSON 16 PERSON: 1 OTHER 1
arts | OTHER 10 OTHER: 1
artworks | OTHER 2
as much as dlrs 3,500 | OTHER 1
ascendant | OTHER 1
ashcroft | PERSON: 1
aside. 3 | OTHER 1
aspect | OTHER 6
aspects | OTHER 9 OTHER: 3
asphalt | OTHER 3
aspirations | OTHER 4
assailant | PERSON 1
assailants | PERSON 4
assassin | PERSON 1
assassination | OTHER 4 OTHER: 3
assassinations | OTHER 3
assassins | PERSON 1
assault | OTHER 9 OTHER: 2
assembly | ORGANIZATION 8 GPE 1 OTHER 4
assertion | OTHER 5 OTHER: 4
assessment | OTHER 12 OTHER: 4
asset | OTHER 2 OTHER: 1
assets | OTHER 23 OTHER: 3
assignment | OTHER 2 OTHER: 2
assignments | OTHER 2
assistance | OTHER 11 OTHER: 2
assistant | PERSON 6 PERSON: 1
assistants | PERSON 4 PERSON: 1
associate | PERSON 5 PERSON: 1
associates | PERSON 14
association | ORGANIZATION 7 ORGANIZATION:Other 1 OTHER 6 OTHER: 5
associations | ORGANIZATION 2 OTHER 1
assortment | OTHER 1
assumption | OTHER 3 OTHER: 1
assumptions | OTHER 2 OTHER: 1
assurance | OTHER 3
assurances | OTHER 7 OTHER: 1
asterisks | OTHER: 1
asteroid | OTHER 1
asteroids | OTHER 2
asthma | OTHER 1
astronaut | PERSON 4
astronauts | PERSON 13 OTHER 1
astrophysics | OTHER: 1
asylum | OTHER 1
at least 16 | OTHER 1
at least 200 | OTHER: 1
at least 25 | OTHER: 1
at least 40 | OTHER 1
at least 50 | OTHER: 1
at least four | OTHER 1
at least nine | OTHER: 2
at least one | OTHER 3 OTHER: 2
at least six | OTHER: 1
at least three more | OTHER: 1
at least two more | OTHER 1
atck | OTHER 1
athlete | PERSON 8 PERSON: 2
athletes | PERSON 12 OTHER 1
athleticism | OTHER 1
athletics | OTHER 3
atlas | OTHER: 2
atmosphere | OTHER 5 OTHER: 6
atoms | OTHER 1
atrium | FACILITY 1
atrocities | OTHER 5
atrocity | OTHER 1
attache | PERSON 3
attachment | OTHER 1
attack | OTHER 130 OTHER: 24
attacker | PERSON 4
attackers | PERSON 9 PERSON: 1
attacks | OTHER 53 OTHER: 17
attempt | OTHER 50 OTHER: 13
attempts | OTHER 20 OTHER: 2
attendance | OTHER 2
attendant | PERSON: 1
attendees | PERSON: 1
attention | PERSON 1 OTHER 40 OTHER: 14
attitude | OTHER 16 OTHER: 6
attitudes | OTHER 1 OTHER: 1
attorney | PERSON 31 PERSON: 6 OTHER 3
attorney general | PERSON: 3
attorneys | PERSON 16 PERSON: 3
attraction | FACILITY 2 OTHER 1 OTHER: 1
attractions | OTHER: 1
attribute | OTHER 2
attributes | OTHER 1
attributions | OTHER 2
attrition | OTHER 1 OTHER: 1
au pair | PERSON 3
auction | OTHER 3 OTHER: 1
auctions | OTHER: 2
audience | PERSON 20 PERSON: 6 OTHER 1 OTHER: 1
audiences | PERSON 7 PERSON: 2
audio | OTHER 1
audit | OTHER 2
auditorium | FACILITY 3
auditors | PERSON 9 PERSON: 2
aug. | OTHER 23
august | OTHER 19 OTHER: 17
aura | OTHER 1
auspices | OTHER 2
author | PERSON 10 PERSON: 2 OTHER 1
authorities | ORGANIZATION 11 PERSON 127 PERSON: 9 OTHER 2
authority | ORGANIZATION 5 GPE 2 OTHER 25 OTHER: 10
authors | PERSON 1 PERSON: 2 ORGANIZATION 2
autobiography | OTHER 1
autographs | OTHER 2
automaker | ORGANIZATION:Commercial 1 ORGANIZATION 2
automakers | ORGANIZATION 2
automobile | OTHER 1
automobiles | VEH:Land 1 OTHER 4
autonomy | OTHER 11
autopsy | OTHER 1
autos | OTHER 1
autumn | OTHER 3
avail | OTHER 1
availability | OTHER 1
ave | OTHER 1
avenue | OTHER 1
avenues | OTHER 2
average | OTHER 25 OTHER: 8
averages | OTHER 2
aviation | OTHER 1 OTHER: 1
avocation | OTHER 1
award | OTHER 6 OTHER: 7
awards | OTHER 7 OTHER: 3
awareness | OTHER 5 OTHER: 4
awkwardness | OTHER 2
b | OTHER 1
b.c. | OTHER 1
babes | PERSON 1
babies | PERSON 24 PERSON: 4
baby | PERSON 19 OTHER 1 OTHER: 1
back | PERSON 1 GPE:Population-Center 1 OTHER 20 OTHER: 3
back nine | OTHER 2
backbone | OTHER 1
backdrop | OTHER 2 OTHER: 3
backers | PERSON 1 PERSON: 3
background | OTHER 7
backgrounds | OTHER 3 OTHER: 1
backhander | OTHER 2
backing | OTHER 3 OTHER: 3
backlash | OTHER: 1
backlog | OTHER 1
backs | PERSON 1 OTHER 2
backup | OTHER 2 OTHER: 1
backwardness | OTHER 1
backyard | LOCATION 1 OTHER 2
bacon | OTHER 1
bacteria | OTHER: 1
bad | OTHER 1
badge | OTHER: 1
bag | OTHER 8 OTHER: 3
baggage | OTHER 3
bags | OTHER 8
baguettes | OTHER: 1
baht | OTHER 3
bail | OTHER 3 OTHER: 1
bailout | OTHER 11
bairnts | LOCATION 1
bait | OTHER 1
baited | OTHER 1
baked | OTHER: 1
bal | OTHER 1
balance | OTHER 19 OTHER: 3
balances | OTHER: 2
balconies | OTHER 1
balcony | FACILITY 1 OTHER 1
balks | OTHER 1
ball | OTHER 16 OTHER: 2
ballad | OTHER 1
ballet | OTHER 1
balloon | OTHER 8
balloonists | PERSON 1
balloons | OTHER 1
ballot | OTHER 15 OTHER: 17
ballotenne | OTHER: 1
ballots | OTHER 61 OTHER: 75
ballroom | FACILITY 2
ballrooms | OTHER 1
balls | OTHER 1
baloney | OTHER 1
ban | OTHER 11 OTHER: 7
bananas | OTHER 1
band | PERSON 3 PERSON: 1 ORGANIZATION 3 ORGANIZATION:Other 4
bandages | OTHER 1
bands | ORGANIZATION 4 ORGANIZATION:Other 2 PERSON 1
bandwagon | OTHER 1
bang | OTHER 7
banjo | OTHER: 1
bank | ORGANIZATION:Commercial 6 ORGANIZATION 45 FACILITY 2 LOCATION 1 OTHER 2
banker | PERSON 9 ORGANIZATION 1
bankers | ORGANIZATION 1 PERSON 9
bankruptcies | OTHER 3
bankruptcy | OTHER 4 OTHER: 2
banks | ORGANIZATION:Government 1 ORGANIZATION:Commercial 10 ORGANIZATION 64 LOCATION 1 OTHER 3 OTHER: 2
banned | OTHER 1
banner | OTHER 3 OTHER: 1
banners | OTHER 4 OTHER: 2
banquet | OTHER: 1
bans | OTHER 1 OTHER: 1
bar | ORGANIZATION:Commercial 7 OTHER 2
barbaric | OTHER: 1
barbie | PERSON: 1
barbs | OTHER: 1
barents | LOCATION 1
bargain | OTHER 5
bargainers | OTHER 1
bargains | OTHER 2
barge | OTHER 1
barometer | OTHER 1
baron | PERSON 3 PERSON: 1
barons | PERSON 1
barrack | PERSON: 1
barracks | FACILITY:Building 1 FACILITY 7
barrage | OTHER 2 OTHER: 1
barrel | OTHER 3 OTHER: 3
barricade | FACILITY:Barrier 2
barricades | OTHER 1
barrier | LOCATION:Boundary 1 OTHER 3 OTHER: 1
barriers | OTHER 3
bars | ORGANIZATION 1 OTHER 4 OTHER: 1
base | PERSON 1 PERSON: 3 ORGANIZATION 1 GPE 4 FACILITY:Bounded-Area 2 FACILITY 16 FACILITY:Other 1 LOCATION 1 OTHER 7 OTHER: 1
baseball | ORGANIZATION 1 OTHER 11 OTHER: 4
baseman | PERSON 2 OTHER 1
basement | FACILITY 1 OTHER: 1
bases | PERSON: 1 ORGANIZATION 1 FACILITY:Bounded-Area 1 FACILITY 11 OTHER 2 OTHER: 2
basics | OTHER 1
basil | OTHER 1
basilica | FACILITY 1
basis | OTHER 32 OTHER: 6
basket | OTHER 1
basketball | OTHER 10
bastions | GPE 1
bat | OTHER 2 OTHER: 1
batch | OTHER 1
bath | OTHER 1
bathroom | FACILITY 1
bathrooms | FACILITY 1
baton | OTHER 1 OTHER: 1
batsmen | OTHER 1
batteries | OTHER 3
batters | PERSON 1
battery | OTHER 5 OTHER: 1
battle | OTHER 39 OTHER: 14
battlefield | GPE 1
battleground | LOCATION 1 OTHER: 1
battlegrounds | GPE:State-or-Province 1
battles | OTHER 7 OTHER: 3
bay | LOCATION 3 OTHER 3 OTHER: 1
beaches | LOCATION:Land-Region-Natural 1
beacon | OTHER 1 OTHER: 1
beacons | OTHER 1
beam | OTHER 3
beams | OTHER 1
beans | OTHER 1
bear | OTHER 2
beard | OTHER: 1
bearded | OTHER 2
bearer | PERSON 1
bearing | OTHER 2
bearings | OTHER 1
bears | OTHER 1
beast | OTHER 4
beat | OTHER 2 OTHER: 1
beating | OTHER 4
beats | OTHER 1
beauty | OTHER 3
beavers | PERSON: 1
bed | LOCATION 2 OTHER 5
bedroom | FACILITY 1 OTHER 1
bedrooms | FACILITY 2
beds | OTHER 2 OTHER: 3
bee | OTHER 1
beef | PERSON 1 OTHER 1 OTHER: 1
beekeeper | PERSON: 1
beepers | OTHER 1
beer | OTHER 3
bees | OTHER 1 OTHER: 2
befitting | OTHER 1
beginning | OTHER 21 OTHER: 10
beginnings | OTHER 1
behalf | OTHER 18 OTHER: 1
behavior | OTHER 14 OTHER: 1
behaviors | OTHER 1
behaviour | OTHER 1
behemoth | ORGANIZATION 2
behinds | OTHER 1
being | PERSON 2 PERSON: 1 OTHER: 1
beings | PERSON 2 OTHER 1
belief | OTHER 8 OTHER: 4
beliefs | OTHER 3 OTHER: 1
believer | PERSON 1
believers | PERSON: 1
believing | OTHER: 1
bell | OTHER 7
belle | OTHER 1
belligerency | OTHER: 1
bells | ORGANIZATION 3 OTHER 2
belly | OTHER 1
belongings | OTHER 1
beloved | PERSON 1 OTHER 1
belt | PERSON 1 FACILITY:Subarea-Building 1 OTHER 1 OTHER: 1
belts | OTHER 1 OTHER: 2
bench | PERSON: 1 OTHER 6 OTHER: 4
benches | OTHER 1
benchmark | OTHER 1 OTHER: 2
benchmarks | OTHER 4
benefactor | GPE 1
benefactors | PERSON 1 ORGANIZATION 1
beneficiaries | OTHER 1
benefit | OTHER 12 OTHER: 1
benefits | OTHER 36 OTHER: 10
benefitted | OTHER 1
bent | OTHER 1 OTHER: 1
berth | OTHER 1
berths | OTHER: 1
besmirched | OTHER 1
best | PERSON 3 PERSON: 1 ORGANIZATION 1 OTHER 15 OTHER: 5
bet | OTHER 1
bets | OTHER 1
better | OTHER 5
beverage | OTHER 1
beverages | OTHER 1
bewildered | OTHER 1
bi | ORGANIZATION 1
bias | OTHER 1 OTHER: 1
bicycles | VEH:Land 1 OTHER 2
bid | OTHER 14 OTHER: 14
bidder | ORGANIZATION 1
bidders | ORGANIZATION:Commercial 1 ORGANIZATION 1
bidding | OTHER 3 OTHER: 1
bids | OTHER 1 OTHER: 2
big | OTHER 5 OTHER: 3
big four | GPE:Nation 1
bigotry | OTHER 1
bill | OTHER 28 OTHER: 8
billboard | OTHER 2
billboards | OTHER 2
billings | OTHER 2
billion | PERSON 1 OTHER 1
billions | OTHER 15 OTHER: 2
bills | OTHER 11 OTHER: 4
bills. [ | OTHER 1
bin | OTHER 1
bind | OTHER 1
binges | OTHER 1
binoculars | OTHER 1
bins | OTHER 1
biodata | OTHER 1
biography | OTHER 2
biological | OTHER 1
biologist | PERSON: 1
biotech | OTHER 1
biotechnology | OTHER 1
bipartisan | OTHER 1
bipartisanship | OTHER 6 OTHER: 1
bird | OTHER 2 OTHER: 5
birdie | OTHER 4
birdies | OTHER 6
birds | OTHER 9 OTHER: 15
birth | OTHER 15 OTHER: 4
birthday | OTHER 4 OTHER: 2
birthdays | OTHER 2
birthplace | GPE 1
births | OTHER 2
bishop | PERSON 1
bishops | PERSON: 1
bistros | ORGANIZATION 1
bit | OTHER 12 OTHER: 4
bite | OTHER 3
bits | OTHER 4 OTHER: 1
bitter | OTHER: 1
bitterness | OTHER 2
biweekly | OTHER: 1
black | PERSON 1 OTHER 2 OTHER: 2
blackberry | OTHER 1
blacklists | OTHER 1
blackmail | OTHER 6
blackmarket | OTHER 1
blackouts | OTHER: 1
blacks | PERSON 10 PERSON: 4
blade | OTHER: 1
blades | OTHER 1
blah | OTHER 3
blame | OTHER 1 OTHER: 3
blank | OTHER 1 OTHER: 1
blankets | OTHER 2
blase | OTHER 1
blast | OTHER 31 OTHER: 2
blasts | OTHER 13 OTHER: 1
blaze | OTHER 4 OTHER: 1
blazer | OTHER 1
blemish | OTHER 1
blend | OTHER 2
blender | OTHER 1
blessing | OTHER 4 OTHER: 1
blight | OTHER 2
blind | FACILITY:Other 1
blink | OTHER 1
blinking | OTHER: 1
blitz | OTHER 2
blizzard | OTHER 2
bloc | ORGANIZATION 1 PERSON 2 PERSON: 2 GPE 1 OTHER: 1
block | GPE 1 FACILITY 9 OTHER 2 OTHER: 4
blockade | OTHER 1 OTHER: 3
blockbuster | OTHER: 1
blocks | FACILITY 2 OTHER 4
blocs | PERSON: 1 ORGANIZATION 3
blonde | PERSON 1
blood | OTHER 11 OTHER: 3
bloodhounds | OTHER 1
bloodiest | OTHER: 1
bloodletting | OTHER 1
bloodshed | OTHER 3 OTHER: 1
bloom | OTHER 1
bloomed | OTHER 1
blooms | OTHER: 1
blossom | OTHER 1
blouson | OTHER 2
blow | OTHER 7 OTHER: 5
blowers | OTHER 1
blowouts | OTHER: 1
blows | OTHER 1
blowtorch | OTHER 1
blue | OTHER 2 OTHER: 1
bluefield | GPE 1
blueprint | OTHER 1 OTHER: 1
blueprints | OTHER 10
bluff | OTHER 2
bluffs | LOCATION 2
blunt | OTHER 2
boa | OTHER 1
board | PERSON 4 ORGANIZATION:Government 4 ORGANIZATION:Commercial 5 ORGANIZATION 57 ORGANIZATION:Other 2 OTHER 39 OTHER: 1
boards | PERSON 1 ORGANIZATION:Government 2 ORGANIZATION 7 OTHER 3
boat | VEH:Water 1 OTHER 27
boats | VEH:Water 1 OTHER 10
bodies | ORGANIZATION 2 ORGANIZATION:Other 1 PERSON 91 PERSON: 5 OTHER 3
body | PERSON 51 PERSON: 1 ORGANIZATION:Government 2 ORGANIZATION 16 ORGANIZATION:Other 1 OTHER 13 OTHER: 5
bodyguard | PERSON 7 PERSON: 1 OTHER 1
bodyguards | PERSON 14
bogey | OTHER 3
bogeys | OTHER 2
boil | OTHER 1
boiler | OTHER: 1
boisterousness | OTHER 1
bolt | OTHER 1
bomb | WEA:Exploding 2 OTHER 29
bombardment | OTHER: 1
bombees | GPE 1
bomber | PERSON: 1
bombers | PERSON 16 GPE 1 OTHER 2
bombings | OTHER 11
bomblet | WEA:Exploding 1
bomblets | WEA:Exploding 9
bombs | WEA:Exploding 2 OTHER 5
bombshell | PERSON: 1
bond | OTHER 3
bonds | OTHER 9
bone | OTHER 1
bones | OTHER 7
bonus | OTHER 2 OTHER: 1
bonuses | OTHER: 1
book | OTHER 25 OTHER: 15
bookmakers | PERSON 4
