! | OTHER 9 OTHER: 17
!! | OTHER: 3
!. | OTHER: 1
$ | OTHER: 2
44 | OTHER 5 OTHER: 13
44.3 million | OTHER 1
45 | OTHER 12 OTHER: 11
45 more | OTHER 1
45,300 | OTHER 1
45,505 | OTHER 1
45.00 | OTHER 1
45.12 1/2 | OTHER 1
45.13 | OTHER 1
45.375 | OTHER 1
45.50 | OTHER 1
450 | OTHER 1
450 million | OTHER 1
450,000 | PERSON:Group 1
451.9 million | OTHER 1
4537 | OTHER: 1
4577 | OTHER 1
46 | OTHER 1 OTHER: 7
46 5/8 | OTHER 1
46 billion | OTHER 1
46,525 | OTHER 1
460 | OTHER 1
4602 | OTHER 1
467 | OTHER: 1
469 | OTHER 1
47 | OTHER 4 OTHER: 10
47.95 | OTHER 1
477 | OTHER 1
47s | OTHER: 1
48 | OTHER 8 OTHER: 9
48 billion | OTHER 2
48 hours. | OTHER 1
48,165 | OTHER 1
48,978 | OTHER 1
4828 save | OTHER: 1
483.39 | OTHER 1
486 | OTHER 1 OTHER: 1
49 | OTHER 7 OTHER: 13
49,999 | OTHER 1
49.25 | OTHER 1
4kg | OTHER: 1
5 | OTHER 45 OTHER: 11
5 200 3 | OTHER: 1
5 6 | OTHER 1
5 billion | OTHER 4
5 million | PERSON:Group 1 OTHER 6 OTHER: 2
5 nov 2004 13 | OTHER: 1
5,000 | PERSON 1 OTHER 3
5,438 | OTHER 1
5,705.1 | OTHER 1
5,861,203 | OTHER 1
5.10 | OTHER 1
5.16 | OTHER 1
5.37 1/2 | OTHER 1
5.5 billion more | OTHER 1
5.98 billion | OTHER 1
5/16 | OTHER 1
50 | PERSON:Group 3 WEA:Exploding 1 OTHER 13 OTHER: 9
50 billion | OTHER 3
50 million | OTHER 4 OTHER: 1
50,000 | PERSON 2 OTHER 10 OTHER: 1
50,017 | OTHER: 1
50,456,169 | OTHER 1
50,996,116 | OTHER 1
50.50 | OTHER 1
50/50 | OTHER 1
500 | PERSON 1 OTHER 10 OTHER: 4
500 million | OTHER 6
500,000 | OTHER 2
501 | OTHER: 1
50s | OTHER 2
51 | OTHER 6 OTHER: 6
51,000 | OTHER: 1
51,795 | OTHER 1
51.00 | OTHER 1
51.25 | OTHER 1
51.38 | OTHER 1
510,645 | OTHER 1
516 billion | OTHER 1
52 | OTHER 6 OTHER: 7
52 +0000 | OTHER: 1
52 +1100 | OTHER: 1
52,000 | OTHER: 1
52.5 million | OTHER 1
523 million | OTHER 1
528 | OTHER 1
53 | OTHER 9 OTHER: 7
53,755 | OTHER 1
53.56 | OTHER 1
53.56 1/4 | OTHER 1
53.69 | OTHER 1
53.94 | OTHER 1
5320 | OTHER 1
535 million | OTHER 1
54 | LOCATION:Address 1 OTHER 14 OTHER: 12
54.12 1/2 | OTHER 1
54.31 | OTHER 1
54.50 | OTHER 1
55 | OTHER 6 OTHER: 6
55 million | OTHER 1
55,119 | OTHER: 1
55.12 1/2 | OTHER 1
55.43 3/4 | OTHER 1
55.50 | OTHER 1
55.88 | OTHER 1
550 billion | OTHER: 1
550 million | OTHER 1
557 | OTHER: 1
557,000 | OTHER 1
56 | OTHER 4 OTHER: 8
56 billion | OTHER 1
562 | OTHER 1
5685 | OTHER: 1
57 | OTHER 3 OTHER: 1
57 million | OTHER 1
57.18 3/4 | OTHER 1
570 | OTHER 1
57104 | OTHER: 1
58 | PERSON 1 PERSON:Group 1 OTHER 7 OTHER: 10
58,000 | OTHER 1
58.7 million | OTHER 1
580 | OTHER: 1
580 million | OTHER: 1
587 | OTHER: 1
59 | OTHER 4 OTHER: 3
6 | PERSON:Individual 1 PERSON:Group 1 OTHER 67 OTHER: 11
6 billion | OTHER 2 OTHER: 1
6 dec 2004 13 | OTHER: 1
6 dec 2004 16 | OTHER: 1
6 million | OTHER 2
6 trillion | OTHER 1
6,000 | OTHER 3 OTHER: 1
6.13 billion | OTHER 1
6.29 | OTHER 1
6.5 billion | OTHER 1
6.8 million | OTHER: 1
6.95 | OTHER 2
60 | OTHER 8 OTHER: 8
60 billion | OTHER 1
60 mil. | OTHER: 1
60 million | OTHER 2 OTHER: 1
60,000 | OTHER 4
600 | OTHER 1 OTHER: 2
600 billion | OTHER: 1
600 kgs | OTHER 1
600 million | OTHER 1 OTHER: 2
600,000 | OTHER 1
6000 | ORGANIZATION 1
603 | OTHER 1
605 | PERSON 1 OTHER: 2
60s | OTHER 1
61 | OTHER 1 OTHER: 1
61 million | OTHER 1 OTHER: 1
6195 | OTHER 1
62 | OTHER 4 OTHER: 1
62 million | OTHER 1
62.12 1/2 | OTHER 1
62.44 | OTHER 1
62.62 1/2 | OTHER 1
62.75 | OTHER 1
62.8 million | OTHER 1
63 | OTHER 4
63 million | OTHER 1
63.45 | OTHER 1
637 | OTHER: 1
64 | OTHER 4 OTHER: 1
646,800 31 | OTHER 1
65 | GPE 2 OTHER 5 OTHER: 2
65,795 | OTHER 1
650,000 | OTHER 1
66 | OTHER 2
66,522 | OTHER 1
66.75 | OTHER 1
660 million | OTHER 1
662 million | OTHER 1
67 | GPE 1 OTHER 6
67,000 | OTHER 1
670 million | OTHER 1
671 billion | OTHER 1
675 | OTHER: 1
678 | OTHER 1
68 | PERSON 1 OTHER 1
68 3/8 | OTHER 1
68.56 | OTHER 1
682.5 million | OTHER 1
69 | OTHER 3
6913 | OTHER 1
6s | OTHER: 1
7 | GPE 1 OTHER 30 OTHER: 11
7 a.m. | OTHER 1
7 billion | OTHER 1
7 dec 2004 08 | OTHER: 1
7 dec 2004 09 | OTHER: 1
7 million | OTHER 1
7,000 | OTHER 1
7,300 | OTHER 1
7,8 | OTHER 1
7.05 billion | OTHER 1
7.2 | OTHER 1
7.4 billion | OTHER 1
7.5 million | OTHER 1
7.50 | OTHER 1
7.74 | OTHER 1
7.95 | OTHER 1
70 | OTHER 7 OTHER: 1
70 billion | OTHER 1
70 years. | OTHER: 1
70,000 | OTHER 1
700 | OTHER 1 OTHER: 1
700 million | OTHER 2
70s | OTHER 1
71 | OTHER 5
72 | OTHER 5 OTHER: 1
72 million | OTHER 2
72.93 3/4 | OTHER 1
725 | OTHER: 1
729 | OTHER 1
729 million | OTHER 1
73 | OTHER 4
737s | OTHER 1
74 | OTHER 2 OTHER: 1
74.23 | OTHER 1
740,000 | OTHER 1
747 | VEH 1
75 | OTHER 3 OTHER: 1
75 million | OTHER 2
75 million durign | OTHER: 1
75,000 | OTHER 2 OTHER: 2
75.69 | OTHER 1
750 | OTHER 1
750 million | OTHER 3 OTHER: 2
750,000 | OTHER: 1
76 | OTHER: 2
761 million | OTHER 1
76ers | ORGANIZATION 1
77 | OTHER 3
77.87 1/2 | OTHER 1
773 million | OTHER 1
775,000 | OTHER 1
78 | OTHER 1
78.5 billion | OTHER 1
787 | OTHER 1
79 | OTHER: 1
7th | OTHER 1 OTHER: 1
8 | PERSON:Individual 1 OTHER 23 OTHER: 16
8 billion | OTHER: 1
8 feb 2005 09 | OTHER: 1
8 feb 2005 10 | OTHER: 1
8 million | OTHER 1 OTHER: 1
8,000 | PERSON 1 OTHER 4 OTHER: 1
8,189.49 | OTHER 1
8,500 | OTHER: 1
8,800 | OTHER 1
8.2 million | OTHER 1
8.5 million | OTHER 1
8.50 | OTHER 4
8.9 | OTHER 1
8.95 | OTHER 1
80 | PERSON:Group 1 OTHER 11 OTHER: 7
80 million | OTHER 1
80,000 | OTHER 1
80.2 million | OTHER 1
800 | OTHER 6 OTHER: 5
800 million | OTHER 2 OTHER: 3
800,000 | OTHER 2 OTHER: 1
801 | OTHER 1
80s | OTHER 2 OTHER: 3
81 | OTHER 2 OTHER: 1
81,615 | OTHER: 1
818 | LOCATION:Address 1
82 | PERSON 1 OTHER 3
82 million | OTHER 1
823,000 | OTHER 1
83 | OTHER 1
83.5 million | OTHER 1
830 million | OTHER 1
835 million | OTHER 1
84,540 | OTHER 1
840 | OTHER 1
85 | OTHER 1 OTHER: 2
85,000 | OTHER: 3
85.94 | OTHER 1
850 | OTHER: 1
850,000 | PERSON 1
8533 | OTHER 1
86 | OTHER 1
86.38 | OTHER 1
86.938 | OTHER 1
86.94 | OTHER 1
862 million | OTHER: 1
865 f.2d 1317 | OTHER 1
87 | PERSON 1 OTHER 2 OTHER: 1
871.70 | OTHER: 1
88.62 1/2 | OTHER 1
883 million | OTHER 1
89 | OTHER: 1
8956.50 | OTHER 1
9 | OTHER 23 OTHER: 13
9 feb 2005 19 | OTHER: 4
9 million | OTHER 3
9 more | OTHER: 1
9,000 | OTHER 1 OTHER: 1
9,174 | PERSON 1
9,600 | OTHER 1
9,817.75 | OTHER 1
9.4 | OTHER: 1
9.4 million | OTHER 1
9.5 billion | OTHER 1
9.5 million | OTHER 1
9.6 billion | OTHER 1
9.9 billion | OTHER 1
9.95 | OTHER 1
9/11 | OTHER: 4
90 | OTHER 6 OTHER: 2
90 billion | OTHER 2
90 million | OTHER: 3
90.7 million | OTHER 1
900 | OTHER 2 OTHER: 2
900 million | OTHER 1
9000 | OTHER 2
90s | OTHER 1 OTHER: 1
91 | OTHER 1 OTHER: 1
911 | OTHER 6 OTHER: 1
913 | OTHER: 1
915 | OTHER 1
92 | OTHER 2
92.91 | OTHER 1
922 | OTHER 1
9226 | OTHER 1
923,400 4 | OTHER 1
925 | OTHER 1
93 | PERSON 1 OTHER 1
936 | OTHER 1
94 | OTHER 4
95 | OTHER 2 OTHER: 1
95 million | OTHER 2
950 million | OTHER: 1
952 | OTHER: 1
95th | OTHER: 1
96 | OTHER 1
96.3 million | OTHER 1
96.88 | OTHER 1
97 | OTHER 2
97,000 | OTHER 1
973 | OTHER 1
98 | OTHER 3 OTHER: 1
98 1626edt | OTHER 1
98 million | OTHER 1
99 | OTHER 1
99 million | OTHER 1
99,000 | OTHER 1
99,645 | OTHER 1
9975 | OTHER 1
9pm | OTHER: 1
9th | OTHER 1
: | OTHER: 1
= | OTHER: 1
? | OTHER 7 OTHER: 12
? 600 | OTHER: 1
?? | OTHER: 69
??t07 | OTHER: 1
??t08 | OTHER: 1
??t09 | OTHER: 6
??t10 | OTHER: 8
??t11 | OTHER: 6
??t12 | OTHER: 9
??t13 | OTHER: 2
??t14 | OTHER: 2
??t15 | OTHER: 3
??t16 | OTHER: 1
??t17 | OTHER: 5
??t18 | OTHER: 2
??t19 | OTHER: 7
??t20 | OTHER: 6
??t21 | OTHER: 2
??t22 | OTHER: 2
??t23 | OTHER: 2
@ | OTHER 1
[ | OTHER 1
_ | OTHER 17 OTHER: 2
a | OTHER 2
a few | OTHER 1
a.d. 1000 | OTHER 1
a.d. 1001 | OTHER 1
a.d. 284 | OTHER 1
a.m | OTHER 5 OTHER: 3
a.m. | OTHER 7 OTHER: 11
a24 | OTHER 1
aa | OTHER 1
abandon | OTHER 1
abbas | OTHER: 1
abby | OTHER: 1
abdomen | OTHER: 1
abdomens | OTHER 1
abducted | OTHER 1
abduction | OTHER 4
abductors | PERSON 1 PERSON:Group 1
abigail | PERSON:Individual 1
abililty | OTHER: 1
abilities | OTHER 1
ability | OTHER 33 OTHER: 17
ablto | OTHER 1
abnormalities | OTHER 1 OTHER: 1
abo | OTHER: 1
abortion | OTHER 11 OTHER: 15
abortions | OTHER 5
abou | OTHER: 1
about 1/ | OTHER 1
about 10 | OTHER 1 OTHER: 1
about 10 minutes. 2 | OTHER 1
about 10 minuts | OTHER: 1
about 100 | OTHER 1
about 1997 | OTHER 3
about 2 million | OTHER 1
about 2,500 | OTHER 1
about 20 | OTHER 1
about 200 | OTHER 1
about 200,000 | OTHER 1
about 30 | OTHER 1 OTHER: 1
about 30,000 | OTHER 2
about 35 | OTHER 1
about 380,000 | OTHER 1
about 4,000 | OTHER: 1
about 40,000 | OTHER 1
about 452,000 | OTHER 1
about 50 | OTHER: 1
about 500 | OTHER: 1
about 500,000 | OTHER 1
about 600 | OTHER: 1
about 7 | OTHER 1
about 7 million | OTHER: 1
about 8 | OTHER: 2
about 8,600 | OTHER 1
about 800 | OTHER 1
about a.d. 600 | OTHER 1
about four | OTHER 2
about one | OTHER 2
about rm2.465 | OTHER 1
about six | OTHER 1 OTHER: 1
above | OTHER 1 OTHER: 2
abroad. | OTHER 1
absaas | OTHER: 1
absence | OTHER 7 OTHER: 3
absentee | PERSON 9 OTHER 11
absentees | PERSON 1 OTHER 1
absentia | OTHER: 3
absolutely one | OTHER: 1
absolution | OTHER 1
abstentions | OTHER 1
abstracts | OTHER: 1
abu | PERSON:Individual 1
abundance | OTHER 3
abuse | OTHER 16 OTHER: 10
abusers | PERSON 1
abuses | OTHER 11 OTHER: 2
academics | OTHER 2
academies | ORGANIZATION 1
academy | ORGANIZATION 4 FACILITY:Building-Grounds 1 FACILITY 1 OTHER 2
accent | OTHER: 1
accents | OTHER 1
acceptance | OTHER 5 OTHER: 4
access | OTHER 81 OTHER: 11
accession | OTHER 2
accessories | OTHER 4 OTHER: 1
accessory | OTHER 1
accident | OTHER 50 OTHER: 14
accidents | OTHER 17 OTHER: 6
accolades | OTHER 1
accommodation | OTHER: 1
accomplice | PERSON:Individual 1 OTHER 1
accomplishment | OTHER 1 OTHER: 1
accomplishments | OTHER 3 OTHER: 1
accord | OTHER 20 OTHER: 4
accordance | OTHER 4
accords | OTHER 5 OTHER: 1
account | OTHER 32 OTHER: 13
accountability | OTHER 1 OTHER: 4
accountable | OTHER 1
accountable enough | OTHER 1
accountant | PERSON:Individual 6 PERSON 1
accountants | PERSON:Group 1
accounts | OTHER 22 OTHER: 7
accruals | OTHER: 1
accumulation | OTHER 1
accuracy | OTHER 4 OTHER: 1
accurate | OTHER 3
accusation | OTHER 6 OTHER: 1
accusations | OTHER 28 OTHER: 3
accused | PERSON 3 OTHER 1
accuser | PERSON 1
accusers | PERSON 5
ace | PERSON:Individual 1
aces | OTHER: 1
achievement | OTHER 6 OTHER: 1
achievements | OTHER 3 OTHER: 2
acid | OTHER 1 OTHER: 1
ack-ack | OTHER: 1
acknowledgment | OTHER 2 OTHER: 1
acquirers | ORGANIZATION 1
acquisition | ORGANIZATION 1 PERSON 1 OTHER 21 OTHER: 4
acquisitions | ORGANIZATION 2 OTHER 11
acquittal | OTHER 5 OTHER: 1
acre | FACILITY 1 OTHER 1
acres | LOCATION 3 OTHER 1 OTHER: 1
acrimony | OTHER 1
acronym | OTHER: 1
act | ORGANIZATION 1 OTHER 41 OTHER: 11
acting | OTHER 1
action | OTHER 108 OTHER: 42
actions | OTHER 33 OTHER: 14
actions... | OTHER: 1
activation | OTHER 1
active | OTHER 1
activist | PERSON:Individual 2 PERSON 5
activists | PERSON 18 PERSON:Group 3
activities | OTHER 45 OTHER: 12
activity | OTHER 25 OTHER: 13
actor | PERSON:Individual 2 PERSON 5 OTHER 1
actors | PERSON 11 GPE 1
actress | PERSON:Individual 1 PERSON 6
actresses | PERSON 1
acts | PERSON:Group 1 OTHER 11 OTHER: 5
ad | OTHER 6 OTHER: 3
ad hoc | OTHER 1
adage | OTHER 1
adamantly | OTHER 1
adaptation | OTHER 1
adapter | OTHER 2
addict | PERSON 1
addiction | OTHER 6
addicts | PERSON 1
addition | PERSON:Individual 1 OTHER 40 OTHER: 11
additional | OTHER 3
address | FACILITY 1 LOCATION 1 OTHER 23 OTHER: 15
addresses | OTHER 2
adept | OTHER 1
adequate one | OTHER 1
adherence | OTHER: 1
adjacent | OTHER 2
adjournment | OTHER 1 OTHER: 1
adjunct | OTHER: 1
adjustment | OTHER 8 OTHER: 2
adjustments | OTHER 5 OTHER: 3
adm. | OTHER 13
administration | PERSON 1 PERSON:Group 1 ORGANIZATION:Government 59 ORGANIZATION 109 GPE:Nation 1 GPE 2 OTHER 14 OTHER: 4
administrations | ORGANIZATION 2
administrator | PERSON:Individual 1 PERSON 6
administrators | PERSON 2
admiral | PERSON 6 ORGANIZATION 2 OTHER 1
admirals | PERSON 1
admiration | OTHER 1 OTHER: 1
admirer | PERSON 1
admission | OTHER 8 OTHER: 4
admissions | OTHER 1
admonitions | OTHER 1
adolescents | PERSON 1
adoption | OTHER 6 OTHER: 4
adoptions | OTHER: 1
adrenaline | OTHER: 1
ads | OTHER 13 OTHER: 1
adult | PERSON:Indeterminate 2 PERSON:Individual 2 PERSON 4 PERSON:Group 1 OTHER 1 OTHER: 4
adultery | OTHER 1
adulthood | OTHER 1
adults | PERSON 19 PERSON:Group 2
advance | OTHER 14 OTHER: 10
advancement | OTHER 1
advancers 4 | OTHER 1
advances | OTHER 6 OTHER: 4
advantage | OTHER 31 OTHER: 13
advantages | OTHER 5 OTHER: 1
advent | OTHER 2
adventure | OTHER 1 OTHER: 1
adventures | OTHER 1 OTHER: 2
adventurism | OTHER 1
adversaries | PERSON 7
adversary | ORGANIZATION 1 GPE 2
advertisement | OTHER 5
advertisements | OTHER 7 OTHER: 2
advertisers | PERSON 2 ORGANIZATION 5
advice | OTHER 24 OTHER: 9
adviser | PERSON:Individual 7 PERSON 17 OTHER 4
advisers | ORGANIZATION:Commercial 3 PERSON 17 PERSON:Group 5
advisor | PERSON 6
advisories | OTHER: 1
advisors | PERSON 9
advisory | OTHER 1 OTHER: 1
advocacy | OTHER 3
advocate | PERSON:Individual 1 PERSON 3 OTHER 1
advocates | PERSON 8
aerial | OTHER 2
aerosol | OTHER 2
aerospace | ORGANIZATION 1
affair | OTHER 24 OTHER: 7
affairs | OTHER 28 OTHER: 7
affairs. | OTHER: 1
affection | OTHER: 3
affidavit | OTHER 6 OTHER: 1
affidavits | OTHER 3
affiliation | OTHER: 2
affiliations | OTHER 1
affinity | OTHER 2
affirmation | OTHER 1
afghans | PERSON:Group 1
afp | ORGANIZATION:Media 1
aftereffects | OTHER 1
aftermath | OTHER 5 OTHER: 5
afternoon | OTHER 73 OTHER: 14
afternoons | OTHER 1 OTHER: 1
afterthought | OTHER: 1
again. | OTHER 1 OTHER: 1
age | OTHER 50 OTHER: 18
agencies | PERSON 1 ORGANIZATION:Government 1 ORGANIZATION:Non-Governmental 3 ORGANIZATION:Commercial 3 ORGANIZATION 32 ORGANIZATION:Media 3 OTHER 1 OTHER: 1
agency | ORGANIZATION:Government 6 ORGANIZATION:Non-Governmental 6 ORGANIZATION:Commercial 3 ORGANIZATION 136 ORGANIZATION:Media 6 OTHER 14 OTHER: 5
agenda | OTHER 19 OTHER: 10
agendas | OTHER 2
agent | ORGANIZATION:Non-Governmental 1 ORGANIZATION 1 PERSON:Individual 5 PERSON 29 OTHER 5
agents | PERSON 67 PERSON:Group 7 WEA:Biological 2 WEA:Chemical 5 OTHER 3 OTHER: 2
ager | OTHER 3
agers | OTHER 9
ages | OTHER 5 OTHER: 1
aggregate | OTHER: 1
aggregators | PERSON:Group 1
aggression | OTHER 8 OTHER: 2
aggressive | OTHER 1
aggressiveness | OTHER 1
aggressor | GPE 1
aggressors | GPE 1
aging | OTHER 1
agitation | OTHER: 1
agreement | OTHER 134 OTHER: 22
agreements | OTHER 9 OTHER: 6
agriculture | OTHER 4
ah | OTHER 13 OTHER: 21
ahla | PERSON 1
aibo | OTHER 1
aid | PERSON 1 OTHER 54 OTHER: 35
aide | PERSON:Individual 1 PERSON 14 OTHER 1 OTHER: 1
aides | PERSON 43 PERSON:Group 2 OTHER 2
aids | PERSON 2 OTHER 1 OTHER: 4
aim | OTHER 19 OTHER: 3
aims | OTHER 1 OTHER: 1
air | VEH:Air 6 ORGANIZATION:Government 4 ORGANIZATION 1 OTHER 69 OTHER: 77
airconsumer | OTHER 1
aircraft | VEH 4 VEH:Air 33 OTHER 15
airdrop | OTHER: 1
airfield | FACILITY:Airport 3 FACILITY 1 OTHER: 1
airlifts | OTHER: 1
airline | VEH:Air 2 ORGANIZATION:Commercial 10 ORGANIZATION 43 OTHER 2 OTHER: 1
airliner | VEH 1 OTHER 2
airliners | VEH:Air 3
airlines | ORGANIZATION:Commercial 6 ORGANIZATION 25 OTHER 7 OTHER: 11
airmen | PERSON:Group 1
airplane | VEH 2 VEH:Air 5 OTHER 2
airplanes | VEH:Air 1 OTHER 3
airport | ORGANIZATION 3 FACILITY:Airport 39 FACILITY 21 OTHER 11 OTHER: 21
airports | FACILITY:Airport 8 FACILITY 10
airs | OTHER 1
airspace | FACILITY 1 LOCATION 1 LOCATION:Celestial 4 OTHER 1 OTHER: 1
airstrike | OTHER 1 OTHER: 4
airstrikes | OTHER 5 OTHER: 4
airstrip | FACILITY:Airport 2
airwaves | OTHER 1
airway | LOCATION 1
aisle | OTHER 4
aisles | FACILITY 1
ak | WEA:Shooting 1
al | ORGANIZATION:Non-Governmental 5 ORGANIZATION:Commercial 1 PERSON:Individual 1 PERSON 2 GPE:Population-Center 1 OTHER 3 OTHER: 15
alarm | OTHER 5 OTHER: 3
alarmed | OTHER 1
alarms | OTHER: 1
alaska | GPE 1
albanians | PERSON 17
albendazole | OTHER 1
album | OTHER 5 OTHER: 3
albums | OTHER 1 OTHER: 2
albuquerque | OTHER: 1
alcohol | OTHER 14 OTHER: 9
alcoholic | PERSON:Individual 1 PERSON 1
aldergrove | FACILITY:Airport 1
alert | OTHER 22 OTHER: 5
alert. | OTHER 1
alisa | PERSON:Individual 1
alive | OTHER: 2
all | ORGANIZATION:Sports 1 ORGANIZATION:Commercial 1 ORGANIZATION 4 PERSON:Indeterminate 1 PERSON 19 PERSON:Group 12 GPE 3 FACILITY 1 WEA:Underspecified 1 OTHER 233 OTHER: 163
all 20 | OTHER 1
all five | OTHER 1
all four | OTHER 3 OTHER: 1
all one | OTHER: 1
all that...plus | OTHER: 1
all three | OTHER 3 OTHER: 1
alldds | OTHER 1
allegation | OTHER 6 OTHER: 1
allegations | OTHER 46 OTHER: 8
alleged | OTHER 1
allegiance | OTHER: 1
allergies | OTHER 1
alleys | OTHER 1
alliance | ORGANIZATION:Non-Governmental 1 ORGANIZATION 18 GPE:Nation 2 GPE 1 OTHER 10 OTHER: 4
alliances | ORGANIZATION 4 OTHER 3 OTHER: 1
allied | OTHER 1
allies | PERSON 7 PERSON:Group 6 ORGANIZATION 2 GPE:Nation 16 GPE 18
alligator | OTHER: 1
allison | PERSON 1
allocation | OTHER 8
allocations | OTHER 1
allotments | LOCATION 1
allowance | OTHER 1
allowances | OTHER 1
allure | OTHER 1
ally | PERSON:Individual 1 PERSON 7 ORGANIZATION 5 GPE:Nation 3 GPE 4 OTHER 1
allyourtv.com | OTHER: 1
allys | GPE:Nation 1
almost 2 | OTHER: 1
almost 25,000 | OTHER 1
almost 50/50 | OTHER: 1
almost twenty four thousand | OTHER 1
alphabet | OTHER: 2
also 24/7 | OTHER: 1
altar | OTHER 2
alter ego | OTHER 1
alternativ | OTHER: 1
alternative | PERSON 1 OTHER 7 OTHER: 2
alternatives | OTHER 6 OTHER: 3
altitude | OTHER 3 OTHER: 1
alto | OTHER: 1
aluminum | OTHER 3
alumni | PERSON 3 PERSON:Group 4
alzheimers. | OTHER: 1
am | OTHER 5 OTHER: 3
amateur | OTHER: 1
amazing | OTHER 1
ambassador | PERSON:Individual 25 PERSON 44 OTHER 6 OTHER: 4
ambassadors | PERSON 2 PERSON:Group 2
amber | PERSON:Individual 1 OTHER: 1
ambition | OTHER 1 OTHER: 3
ambitions | OTHER 1 OTHER: 5
ambulance | VEH 4 VEH:Land 1 OTHER 2
ambulances | VEH 5
ambush | OTHER 3 OTHER: 1
amended | OTHER 1
amendment | OTHER 8
amendments | OTHER 9
americana | GPE:Nation 1
americans | PERSON 43 PERSON:Group 18 GPE:Nation 6 GPE 12 OTHER 1
amicable | OTHER: 1
ammo | WEA:Projectile 1
ammunition | WEA:Underspecified 3 WEA:Projectile 8 OTHER 4 OTHER: 1
ammunitions | WEA:Projectile 1
amnesia | OTHER: 1
amnesty | ORGANIZATION 2 OTHER 1
amortizable | OTHER: 1
amount | OTHER 46 OTHER: 27
amounts | PERSON 1 OTHER 9 OTHER: 4
amp | OTHER: 28
amplitude | OTHER 1
ampules | OTHER 2
amputees | PERSON 1
amusement | OTHER 1 OTHER: 2
ana | OTHER 1
analogy | OTHER: 1
analyses | OTHER 1
analysis | OTHER 7 OTHER: 12
analyst | PERSON:Individual 17 PERSON 42 PERSON:Group 1 OTHER 1 OTHER: 1
analysts | PERSON 107 PERSON:Group 28
anarchy | OTHER: 2
anathema | OTHER 1 OTHER: 1
anatomy | OTHER: 1
ancestor | OTHER 1
ancestors | PERSON 1 OTHER 1
anchor | PERSON 1 OTHER: 1
anchorman | PERSON 1
anchors | PERSON 2 OTHER: 1
andht | OTHER 1
ands | OTHER 1
anecdote | OTHER 1
angel | PERSON:Individual 1 OTHER: 1
angels | PERSON 1 ORGANIZATION 1
anger | OTHER 11 OTHER: 1
angle | OTHER 2 OTHER: 1
angles | OTHER: 3
angst | OTHER: 1
anguish | OTHER 2
animal | OTHER 4 OTHER: 1
animals | OTHER 17 OTHER: 2
animation | OTHER: 6
animosities | OTHER 1
animosity | OTHER 1 OTHER: 1
ankles | OTHER: 1
anlayst | PERSON 1
anna | PERSON:Individual 5 OTHER 1 OTHER: 2
annals | OTHER 1
annexation | OTHER 1
annihilation | OTHER 1
anniston | GPE:Population-Center 1
anniverary | OTHER: 1
anniversary | OTHER 21 OTHER: 4
announcement | OTHER 26 OTHER: 14
announcements | OTHER 6 OTHER: 4
announcer | PERSON 4
annoyance | OTHER 1 OTHER: 1
annual | OTHER 2
annuals | PERSON 1
anonimity | OTHER: 1
anonymity | OTHER 31 OTHER: 10
anonymous | OTHER 1
answer | OTHER 36 OTHER: 14
answers | OTHER 20 OTHER: 5
antagonism | OTHER 1
anted | OTHER 1
antenna | OTHER 1
antennas | OTHER 1
antes | OTHER 1
anthem | OTHER 12
anthrax | WEA:Biological 12 OTHER 8
anthropologist | PERSON 2
anthropologists | PERSON 3
anti | PERSON:Group 2 OTHER 10 OTHER: 37
antibiotics | OTHER 1
anticipation | OTHER 2 OTHER: 2
antics | OTHER 1
antidote | OTHER: 1
antidotes | OTHER 1 OTHER: 1
antifreeze | OTHER: 1
antiquities | OTHER: 1
antisemitic | OTHER 1
anwar | PERSON:Individual 1
anxieties | OTHER 1 OTHER: 1
anxiety | OTHER 12 OTHER: 1
anxiety. | OTHER 1
any | ORGANIZATION 4 PERSON:Indeterminate 2 PERSON:Individual 1 PERSON 10 PERSON:Group 1 GPE 1 FACILITY:Subarea-Facility 1 FACILITY 1 OTHER 48 OTHER: 27
anymore | OTHER 1 OTHER: 1
anyone | PERSON:Individual 2
anyway. | OTHER 1
anyways | OTHER: 1
ap | OTHER 1
apache | VEH:Air 2 OTHER: 1
apartheid | OTHER 1 OTHER: 2
apartment | FACILITY:Subarea-Facility 6 FACILITY:Building-Grounds 2 FACILITY 40 OTHER 2
apartments | FACILITY 4
ape | OTHER 1
aperitif | OTHER 2
apes | OTHER 1
aphorisms | OTHER 1
apocalypse | OTHER: 1
apointed | OTHER: 1
apolitical | OTHER 1
apologies | OTHER 2 OTHER: 1
apology | OTHER 13 OTHER: 2
appalachians | PERSON 1
apparantly | OTHER: 1
apparatus | ORGANIZATION:Commercial 1 OTHER 1 OTHER: 1
apparel | OTHER 3 OTHER: 1
apparent | OTHER 1
appeal | OTHER 55 OTHER: 28
appeals | OTHER 15 OTHER: 10
appearance | OTHER 24 OTHER: 5
appearances | OTHER 14 OTHER: 1
appellation | OTHER 1
appetite | OTHER 2
appetizer | OTHER 2
appetizers | OTHER 2
applause | OTHER 10 OTHER: 14
apple | OTHER: 1
apples | PERSON 1 OTHER 2
appliances | OTHER 2 OTHER: 1
applicant | PERSON 2
application | OTHER 15 OTHER: 5
applications | OTHER 9 OTHER: 1
appointees | PERSON 2
appointment | OTHER 15 OTHER: 4
appointments | PERSON 1 OTHER 4
apportionment | OTHER 1
appraisal | OTHER 1
appraisals | OTHER 1
appreciation | OTHER 1 OTHER: 3
apprehensions | OTHER 1
apprentice | PERSON 1
